Factor,Baseline Mean,Baseline Peak,Baseline Time to Peak,Brain Freeze Mean,Brain Freeze Peak,Brain Freeze Time to Peak,% Change of Means,T-Statistic,P-Value
MCAv_mean,53.0485,68.1276,0.69,57.3321,67.5977,18.92,8.0749,-72.485,0.0
MCAv_dia,34.3291,49.6563,0.03,38.0264,46.9375,1.6,10.7702,-67.8652,0.0
MCAv_raw,53.0825,95.4031,1.66,57.2519,101.1875,32.2,7.8546,-15.4536,0.0
MCAv_sys,83.8931,95.5313,1.62,89.4844,101.8438,31.3,6.6648,-59.4414,0.0
FP_raw,94.0845,150.0219,2.6,92.0007,136.6094,21.1,-2.2148,7.4147,0.0
HCU_pressure,-5.1509,9.9283,0.69,-0.8672,9.3984,18.92,-83.1641,-72.4849,0.0
Systolic,130.4368,150.075,2.51,128.3821,136.1125,21.94,-1.5752,16.0964,0.0
Mean_arterial,94.0808,113.1844,3.51,92.0804,102.1156,19.48,-2.1263,16.7074,0.0
Diastolic,76.5527,95.0406,3.51,75.5782,87.0781,20.2,-1.273,8.2487,0.0
HR,60.6281,66.1156,43.86,69.3216,86.1156,19.48,14.3391,-83.312,0.0
MCA_PI,0.9384,1.1006,52.74,0.9025,1.1568,38.36,-3.8257,18.3337,0.0
