Factor,Baseline Peak,Baseline Time to Peak,Brain Freeze Peak,Brain Freeze Time to Peak,% Change,T-Statistic,P-Value
MCAv_mean,100.3485,57.95,116.7131,25.05,16.3078,-2.4582,0.014
MCAv_dia,78.875,57.95,88.25,25.05,11.8859,30.5794,0.0
MCAv_raw,127.0062,57.95,164.325,26.17,29.3834,-1.1273,0.2597
MCAv_sys,127.7812,57.95,164.9688,26.18,29.1026,-29.5094,0.0
FP_raw,158.9469,39.3,182.0094,59.6,14.5096,6.4199,0.0
HCU_pressure,100.3485,57.95,116.7131,25.05,16.3078,-2.4582,0.014
Systolic,158.0813,38.44,182.025,59.54,15.1464,14.5267,0.0
Mean_arterial,107.0062,59.5,117.7281,51.0,10.0199,12.2793,0.0
Diastolic,90.0062,1.08,116.0406,48.3,28.9251,18.1367,0.0
HR,90.0344,19.82,107.0438,14.33,18.8921,26.0961,0.0
MCA_PI,0.8301,28.03,1.2932,21.22,55.7885,-60.3959,0.0
