Time (s),MCAv_mean,MCAv_dia,MCAv_raw,MCAv_sys,FP_raw,HCU_pressure,Systolic,Mean_arterial,Diastolic,HR,MCA_PI,,,,,
0,84.62120056,63.5,79.553125,114.34375,94.00624847,84.62120056,134,101.0062485,81,71.00624847,0.600839376,,,,,
0.01,84.62120056,63.5,79.55625,114.34375,94.00624847,84.62120056,134,101.0062485,81,71.00624847,0.600839376,,,,,
0.02,84.62120056,63.5,79.546875,114.34375,94.00937271,84.62120056,134,101.0062485,81,71.00624847,0.600839376,,,,,
0.03,84.62120056,63.5,78.846875,114.34375,94.015625,84.62120056,134,101.0062485,81,71.00624847,0.600839376,,,,,
0.04,84.62120056,63.5,77.0875,114.34375,93.53750229,84.62120056,134,101.0062485,81,71.00624847,0.600839376,,,,,
0.05,84.62120056,63.5,76.68125,114.34375,92.97499847,84.62120056,134,101.0062485,81,71.00624847,0.600839376,,,,,
0.06,84.62120056,63.5,76.578125,114.34375,93.00312424,84.62120056,134,101.0062485,81,71.00624847,0.600839376,,,,,
0.07,84.62120056,63.5,75.8375,114.34375,92.03749847,84.62120056,134,101.0062485,81,71.00624847,0.600839376,,,,,
0.08,84.62120056,63.5,74.246875,114.34375,91.54062653,84.62120056,134,101.0062485,81,71.00624847,0.600839376,,,,,
0.09,84.62120056,63.5,73.6625,114.34375,90.97500229,84.62120056,134,101.0062485,81,71.00624847,0.600839376,,,,,
0.1,84.62120056,63.5,74.271875,114.34375,90.02500153,84.62120056,134,101.0062485,81,71.00624847,0.600839376,,,,,
0.11,84.62120056,63.5,74.55625,114.34375,89.05312347,84.62120056,134,101.0062485,81,71.00624847,0.600839376,,,,,
0.12,84.62120056,63.5,75.05,114.34375,88.57500076,84.62120056,134,101.0062485,81,71.00624847,0.600839376,,,,,
0.13,84.62120056,63.5,75.590625,114.34375,87.53125,84.62120056,134,101.0062485,81,71.00624847,0.600839376,,,,,
0.14,84.62120056,63.5,75.16875,114.34375,87.484375,84.62120056,134,101.0062485,81,71.00624847,0.600839376,,,,,
0.15,84.62120056,63.5,73.534375,114.34375,86.97187424,84.62120056,134.0062561,101.0062485,81.00624847,71.00624847,0.600839376,,,,,
0.16,84.62120056,63.5,71.575,114.34375,86.03437424,84.62120056,134.0062561,101.0062485,81.00624847,71.00624847,0.600839376,,,,,
0.17,84.62120056,63.5,70.25,114.34375,85.55000305,84.62120056,134.0062561,101.0062485,81.00624847,71.00624847,0.600839376,,,,,
0.18,84.62120056,63.5,69.334375,114.34375,84.984375,84.62120056,134.0062561,101.0062485,81.00624847,71.00624847,0.600839376,,,,,
0.19,84.62120056,63.5,69.071875,114.34375,84.99062347,84.62120056,134.0062561,101.0062485,81.00624847,71.00624847,0.600839376,,,,,
0.2,84.62120056,63.5,69.503125,114.34375,85,84.62120056,134.0062561,101.0062485,81.00624847,71.00624847,0.600839376,,,,,
0.21,84.62120056,63.5,69.484375,114.34375,84.015625,84.62120056,134.0062561,101.0062485,81.00624847,71.00624847,0.600839376,,,,,
0.22,84.62120056,63.5,68.521875,114.34375,84.46875,84.62120056,134.0062561,101.0062485,81.00624847,71.00624847,0.600839376,,,,,
0.23,84.62120056,63.5,65.41875,114.34375,85.00625229,84.62120056,134.0656204,101.0499992,81.04062271,71.03125,0.600839376,,,,,
0.24,84.62120056,63.5,63.746875,114.34375,84.48749924,84.62120056,134.0187531,101.015625,81.01250076,71.01249695,0.600839376,,,,,
0.25,84.62120056,63.5,64.325,114.34375,85.484375,84.62120056,140.8531265,105.8968735,84.91874695,73.94062424,0.600839376,,,,,
0.26,84.62120056,63.5,65.09375,114.34375,87.91562271,84.62120056,140.9281235,105.9499969,84.95937347,73.97187424,0.600839376,,,,,
0.27,84.62120056,63.5,65.390625,114.34375,92.359375,84.62120056,141,106.0062485,85,74.00624847,0.600839376,,,,,
0.28,84.62120056,63.5,65.559375,114.34375,100.2531242,84.62120056,141,106.0062485,85,74.00624847,0.600839376,,,,,
0.29,84.62120056,63.5,65.596875,114.34375,111.6843758,84.62120056,141,106.0062485,85,74.00624847,0.600839376,,,,,
0.3,84.62120056,63.5,65.603125,114.34375,124.1937485,84.62120056,141,106.0062485,85,74.00624847,0.600839376,,,,,
0.31,84.62120056,63.5,66.221875,114.34375,133.7687531,84.62120056,141,106.0062485,85,74.00624847,0.600839376,,,,,
0.32,84.62120056,63.5,68.209375,114.34375,138.90625,84.62120056,141,106.0062485,85,74.00624847,0.600839376,,,,,
0.33,84.62120056,63.5,71.90625,114.34375,141.4812546,84.62120056,141.0062561,106.0062485,85,74.00624847,0.600839376,,,,,
0.34,84.62120056,63.5,79.29375,114.34375,140.5875015,84.62120056,141.0062561,106.0062485,85,74.00624847,0.600839376,,,,,
0.35,84.62120056,63.5,89.78125,114.34375,138.578125,84.62120056,141.0062561,106.0062485,85,74.00624847,0.600839376,,,,,
0.36,84.62120056,63.5,100.459375,114.34375,136.0999985,84.62120056,141.0062561,106.0062485,85,74.00624847,0.600839376,,,,,
0.37,84.62120056,63.5,107.215625,114.34375,133.0906296,84.62120056,141.0062561,106.0062485,85,74.00624847,0.600839376,,,,,
0.38,84.62120056,63.5,109.90625,114.34375,128.6406288,84.62120056,141.0062561,106.0062485,85,74.00624847,0.600839376,,,,,
0.39,84.62120056,63.5,112.29375,114.34375,123.6218758,84.62120056,141.0062561,106.0062485,85,74.00624847,0.600839376,,,,,
0.4,86.98804474,65.921875,113.909375,114.34375,119.0906258,86.98804474,141.0062561,106.0062485,85,74.00624847,0.557820261,,,,,
0.41,89.35488892,68.34375,113.5625,114.34375,115.1031265,89.35488892,141.0062561,106.0062485,85,74.00624847,0.514801145,,,,,
0.42,89.35488892,68.34375,110.828125,114.34375,112.5374985,89.35488892,141.0062561,106.0062485,85,74.00624847,0.514801145,,,,,
0.43,89.35488892,68.34375,106.7,114.34375,111.9937477,89.35488892,141.0062561,106.0062485,85,74.00624847,0.514801145,,,,,
0.44,89.35488892,68.34375,103.190625,114.34375,112,89.35488892,141.0062561,106.0062485,85,74.00624847,0.514801145,,,,,
0.45,89.35488892,68.34375,101.221875,114.34375,113.4406242,89.35488892,141.0062561,106.0062485,85,74.00624847,0.514801145,,,,,
0.46,89.35488892,68.34375,101.0875,114.34375,116.4406242,89.35488892,141.0062561,106.0062485,85,74.00624847,0.514801145,,,,,
0.47,89.35488892,68.34375,101.3375,114.34375,117.9750023,89.35488892,141.0062561,106.0062485,85,74.00624847,0.514801145,,,,,
0.48,89.35488892,68.34375,101.93125,114.34375,118.9781265,89.35488892,141.0062561,106.0062485,85,74.00624847,0.514801145,,,,,
0.49,89.35488892,68.34375,103.7875,114.34375,117.5499992,89.35488892,141.0062561,106.0062485,85,74.00624847,0.514801145,,,,,
0.5,89.35488892,68.34375,105.040625,114.34375,115.5718765,89.35488892,141.0062561,106.0062485,85,74.00624847,0.514801145,,,,,
0.51,89.35488892,68.34375,105.634375,114.34375,112.0999985,89.35488892,141.0062561,106.0062485,85.00312424,74.00312424,0.514801145,,,,,
0.52,89.35488892,68.34375,105.721875,114.34375,109.53125,89.35488892,141.0062561,106.0062485,85.00624847,74,0.514801145,,,,,
0.53,89.35488892,68.34375,104.328125,114.34375,107.0437508,89.35488892,141.0062561,106.0062485,85.00624847,74,0.514801145,,,,,
0.54,89.35488892,68.34375,102.4,114.34375,106.0500031,89.35488892,141.0062561,106.0062485,85.00624847,74,0.514801145,,,,,
0.55,89.35488892,68.34375,101.396875,114.34375,106.9937477,89.35488892,141.0062561,106.0062485,85.00624847,74,0.514801145,,,,,
0.56,89.35488892,68.34375,100.23125,114.34375,108.4312515,89.35488892,141.0062561,106.0062485,85.00624847,74,0.514801145,,,,,
0.57,89.35488892,68.34375,98.6125,114.34375,111.4281273,89.35488892,141.0062561,106.0062485,85.00624847,74,0.514801145,,,,,
0.58,89.35488892,68.34375,96.140625,114.34375,113.4562492,89.35488892,141.0062561,106.0062485,85.00624847,74,0.514801145,,,,,
0.59,89.35488892,68.34375,93.771875,114.34375,114.9906235,89.35488892,141.0062561,106.0062485,85.00624847,74,0.514801145,,,,,
0.6,89.35488892,68.34375,92.184375,114.34375,115.9625015,89.35488892,141.0062561,106.0062485,85.00624847,74,0.514801145,,,,,
0.61,89.35488892,68.34375,91.6625,114.34375,115.9874992,89.35488892,141.0062561,106.0062485,85.00624847,74,0.514801145,,,,,
0.62,89.35488892,68.34375,92.9125,114.34375,115.0406227,89.35488892,141.0062561,106.0062485,85.00624847,74,0.514801145,,,,,
0.63,89.35488892,68.34375,95.6,114.34375,113.578125,89.35488892,141.0062561,106.0062485,85.00624847,74,0.514801145,,,,,
0.64,89.35488892,68.34375,99.2625,114.34375,112.5250015,89.35488892,141.0062561,106.0062485,85.00624847,74,0.514801145,,,,,
0.65,89.35488892,68.34375,101.68125,114.34375,110.5437469,89.35488892,141.0062561,106.0062485,85.00624847,74,0.514801145,,,,,
0.66,89.35488892,68.34375,101.834375,114.34375,107.578125,89.35488892,141.0062561,106.0062485,85.00624847,74,0.514801145,,,,,
0.67,89.35488892,68.34375,99.94375,114.34375,105.5625,89.35488892,141.0062561,106.0062485,85.00624847,74,0.514801145,,,,,
0.68,89.35488892,68.34375,95.9875,114.34375,103.5656281,89.35488892,141.0062561,106.0062485,85.00624847,74,0.514801145,,,,,
0.69,89.35488892,68.34375,92.2875,114.34375,101.5625,89.35488892,141.0062561,106.0062485,85.00624847,74,0.514801145,,,,,
0.7,89.35488892,68.34375,89.909375,114.34375,100.5374985,89.35488892,141,106.0062485,85.00624847,74,0.514801145,,,,,
0.71,89.35488892,68.34375,89.928125,114.34375,99.50312424,89.35488892,141,106.0062485,85.00624847,74,0.514801145,,,,,
0.72,89.35488892,68.34375,90.584375,114.34375,98.97812271,89.35488892,141,106.0062485,85.00624847,74,0.514801145,,,,,
0.73,89.35488892,68.34375,90.80625,114.34375,98.02187347,89.35488892,141,106.0062485,85.00624847,74,0.514801145,,,,,
0.74,89.35488892,68.34375,87.7875,114.34375,98.01250076,89.35488892,141,106.0062485,85.00624847,74,0.514801145,,,,,
0.75,89.35488892,68.34375,85.09375,114.34375,98,89.35488892,141,106.0062485,85.00624847,74,0.514801145,,,,,
0.76,89.35488892,68.34375,84.1,114.34375,98,89.35488892,141,106.0062485,85.00624847,74,0.514801145,,,,,
0.77,89.35488892,68.34375,84.615625,114.34375,98,89.35488892,141,106.0062485,85.00624847,74,0.514801145,,,,,
0.78,89.35488892,68.34375,84.98125,114.34375,98,89.35488892,141,106.0062485,85.00624847,74,0.514801145,,,,,
0.79,89.35488892,68.34375,84.675,114.34375,98,89.35488892,141,106.0062485,85.00624847,74,0.514801145,,,,,
0.8,89.35488892,68.34375,84.49375,114.34375,98.015625,89.35488892,141,106.0062485,85.00624847,74,0.514801145,,,,,
0.81,89.35488892,68.34375,84.546875,114.34375,98.02500153,89.35488892,141,106.0062485,85.00624847,74,0.514801145,,,,,
0.82,89.35488892,68.34375,84.515625,114.34375,98.51249695,89.35488892,141,106.0062485,85.00624847,74,0.514801145,,,,,
0.83,89.35488892,68.34375,84.4875,114.34375,98.9375,89.35488892,141,106.0062485,85.00624847,74,0.514801145,,,,,
0.84,89.35488892,68.34375,84.515625,114.34375,98.97812271,89.35488892,141,106.0062485,85.00624847,74,0.514801145,,,,,
0.85,89.35488892,68.34375,84.546875,114.34375,98.50312424,89.35488892,141,106.0062485,85.00624847,74,0.514801145,,,,,
0.86,89.35488892,68.34375,84.25625,114.34375,98.55625153,89.35488892,141,106.0062485,85.00624847,74,0.514801145,,,,,
0.87,89.35488892,68.34375,83.115625,114.34375,97.98749924,89.35488892,141,106.0062485,85.00624847,74,0.514801145,,,,,
0.88,89.35488892,68.34375,81.54375,114.34375,97.015625,89.35488892,141,106.0062485,85.00312424,74,0.514801145,,,,,
0.89,89.35488892,68.34375,80.715625,114.34375,97.01250076,89.35488892,141,106.0062485,85,74,0.514801145,,,,,
0.9,89.35488892,68.34375,81.3375,114.34375,96.01874924,89.35488892,141,106.0062485,85,74,0.514801145,,,,,
0.91,89.35488892,68.34375,82.615625,114.34375,96.00312424,89.35488892,141,106.0062485,85,74,0.514801145,,,,,
0.92,89.35488892,68.34375,83.41875,114.34375,95.015625,89.35488892,141,106.0062485,85,74,0.514801145,,,,,
0.93,89.35488892,68.34375,82.8375,114.34375,94.03125,89.35488892,141,106.0062485,85,74,0.514801145,,,,,
0.94,89.35488892,68.34375,81.609375,114.34375,93.046875,89.35488892,141,106.0062485,85,74,0.514801145,,,,,
0.95,89.35488892,68.34375,80.690625,114.34375,91.55937576,89.35488892,141,106.0062485,85,74,0.514801145,,,,,
0.96,89.35488892,68.34375,80.55,114.34375,90.99374771,89.35488892,141,106.0062485,85,74,0.514801145,,,,,
0.97,89.35488892,68.34375,80.515625,114.34375,90.02499771,89.35488892,141,106.0062485,85,74,0.514801145,,,,,
0.98,89.35488892,68.34375,79.35,114.34375,90.02499771,89.35488892,141,106.0062485,85,74,0.514801145,,,,,
0.99,89.35488892,68.34375,78.525,114.34375,89.53750229,89.35488892,141,106.0062485,85,74,0.514801145,,,,,
1,89.35488892,68.34375,78.965625,114.34375,88.984375,89.35488892,141,106.0062485,85,74,0.514801145,,,,,
1.01,89.35488892,68.34375,77.80625,114.34375,89,89.35488892,141,106.0062485,85,74,0.514801145,,,,,
1.02,89.35488892,68.34375,75.321875,114.34375,89.00624847,89.35488892,141,106.0062485,85,74,0.514801145,,,,,
1.03,89.35488892,68.34375,73.834375,114.34375,89.00624847,89.35488892,141,106.0062485,85,74,0.514801145,,,,,
1.04,89.35488892,68.34375,72.553125,114.34375,89,89.35488892,141.0218735,105.9937477,85.04999924,74.01250076,0.514801145,,,,,
1.05,89.35488892,68.34375,71.2,114.34375,88.99375153,89.35488892,141.0093689,106,85.01874924,74.00624847,0.514801145,,,,,
1.06,89.35488892,68.34375,69.8875,114.34375,89.45624924,89.35488892,142.9625015,105.0218735,89.90312195,74.984375,0.514801145,,,,,
1.07,89.35488892,68.34375,69.325,114.34375,91.91562271,89.35488892,142.9812546,105.0125008,89.94999695,74.99374771,0.514801145,,,,,
1.08,89.35488892,68.34375,68.7125,114.34375,96.359375,89.35488892,143,105,90.00624847,75,0.514801145,,,,,
1.09,89.35488892,68.34375,69.88125,114.34375,104.7562485,89.35488892,143,105,90.00624847,75,0.514801145,,,,,
1.1,89.35488892,68.34375,71.4375,114.34375,116.2718735,89.35488892,143,105,90.00624847,75,0.514801145,,,,,
1.11,89.35488892,68.34375,72.359375,114.34375,128.2281265,89.35488892,143,105,90.00624847,75,0.514801145,,,,,
1.12,89.35488892,68.34375,72.571875,114.34375,137.3343811,89.35488892,143,105,90.00624847,75,0.514801145,,,,,
1.13,89.35488892,68.34375,73.64375,114.34375,142.4250031,89.35488892,143,105,90.00624847,75,0.514801145,,,,,
1.14,89.35488892,68.34375,76.271875,114.34375,143.4937515,89.35488892,143,105,90.00624847,75,0.514801145,,,,,
1.15,89.35488892,68.34375,81.046875,114.34375,142,89.35488892,143,105,90.00624847,75,0.514801145,,,,,
1.16,89.35488892,68.34375,89.578125,114.34375,139.5999985,89.35488892,143,105,90.00624847,75,0.514801145,,,,,
1.17,89.35488892,68.34375,98.865625,114.34375,136.1156235,89.35488892,143,105,90.00624847,75,0.514801145,,,,,
1.18,89.35488892,68.34375,105.534375,114.34375,132.1062469,89.35488892,143,105,90.00624847,75,0.514801145,,,,,
1.19,89.35488892,68.34375,109.14375,114.34375,127.1343765,89.35488892,143,105,90.00624847,75,0.514801145,,,,,
1.2,89.35488892,68.34375,110.684375,114.34375,122.640625,89.35488892,143,105,90.00624847,75,0.514801145,,,,,
1.21,87.65481796,67.621875,110.709375,112.353125,118.0843773,87.65481796,143,105,90.00624847,75,0.510273713,,,,,
1.22,86.92621613,67.3125,108.8,111.5,114.0968742,86.92621613,143,105,90.00624847,75,0.508333385,,,,,
1.23,86.92621613,67.3125,105.59375,111.5,111.5437508,86.92621613,143,105,90.00624847,75,0.508333385,,,,,
1.24,86.92621613,67.3125,101.70625,111.5,110.9937515,86.92621613,143,105,90.00624847,75,0.508333385,,,,,
1.25,86.92621613,67.3125,99.975,111.5,111.9718742,86.92621613,143,105,90.00624847,75.00312424,0.508333385,,,,,
1.26,86.92621613,67.3125,100.55625,111.5,113.4375,86.92621613,143,105,90.00624847,75.00624847,0.508333385,,,,,
1.27,86.92621613,67.3125,101.434375,111.5,114.9906273,86.92621613,143,105,90.00624847,75.00624847,0.508333385,,,,,
1.28,86.92621613,67.3125,102.33125,111.5,114.9937515,86.92621613,143,105,90.00624847,75.00624847,0.508333385,,,,,
