Time (s),MCAv_mean,MCAv_dia,MCAv_raw,MCAv_sys,FP_raw,HCU_pressure,Systolic,Mean_arterial,Diastolic,HR,MCA_PI
0,64.83032227,45.625,47.453125,105,160.5031281,64.83032227,165,109,89,55,0.915852308
0.01,64.83032227,45.625,53.121875,105,165.6218796,64.83032227,165,109,89,55,0.915852308
0.02,64.83032227,45.625,62.446875,105,165.8000031,64.83032227,165,109,89,55,0.915852308
0.03,64.8303,45.625,73.6188,105,163.6844,64.8303,165,109,89,55,0.9159
0.04,64.8303,45.625,83.4531,105,159.0813,64.8303,165,109,89,55,0.9159
0.05,64.8303,45.625,92.1188,105,153.3719,64.8303,165,109,89,55,0.9159
0.06,64.83032227,45.625,98.93125,105,146.171875,64.83032227,165,109,89,55,0.915852308
0.07,64.83032227,45.625,103.221875,105,138.078125,64.83032227,165,109,89,55,0.915852308
0.08,64.83032227,45.625,104.44375,105,130.6999969,64.83032227,165,109,89,55,0.915852308
0.09,64.8551,45.8219,104.7938,105,123.0406,64.8551,165,109,89,55,0.9125
0.1,65.0784,47.5938,104.4594,105,117.4375,65.0784,165,109,89,55,0.8821
0.11,65.0784,47.5938,101.675,105,114.1281,65.0784,165,109,89,55,0.8821
0.12,65.0784,47.5938,95.9562,105,110.2219,65.0784,165,109,89,55,0.8821
0.13,65.0784,47.5938,90.4781,105,108.0594,65.0784,165,109,89,55,0.8821
0.14,65.0784,47.5938,86.7469,105,106.2281,65.0784,165,109,89,55,0.8821
0.15,65.0784,47.5938,81.9188,105,105.2188,65.0784,165,109,89,55,0.8821
0.16,65.0784,47.5938,78.5563,105,104.8281,65.0784,165,109,89,55,0.8821
0.17,65.0784,47.5938,75.9906,105,103.95,65.0784,165,109,89,55,0.8821
0.18,65.0784,47.5938,75.8125,105,103.8187,65.0784,165,109,89,55,0.8821
0.19,65.0784,47.5938,76.0969,105,103.0187,65.0784,165,109,89,55,0.8821
0.2,65.0784,47.5938,75.2281,105,102.3844,65.0784,165,109,89,55,0.8821
0.21,65.0784,47.5938,73.9469,105,103.9937,65.0784,165,109,89,55,0.8821
0.22,65.0784,47.5938,73.0656,105,105.9469,65.0784,165,109,89,55,0.8821
0.23,65.0784,47.5938,72.1344,105,108.9125,65.0784,165,109,89,55,0.8821
0.24,65.0784,47.5938,70.875,105,112.9031,65.0784,165,109,89,55,0.8821
0.25,65.0784,47.5938,69.1875,105,117.7219,65.0784,165,109,89,55,0.8821
0.26,65.0784,47.5938,68.5719,105,121.9188,65.0784,165,109,89,55,0.8821
0.27,65.0784,47.5938,68.9469,105,125.7969,65.0784,165,109,89,55,0.8821
0.28,65.0784,47.5938,68.275,105,128.1313,65.0784,165,109,89,55,0.8821
0.29,65.0784,47.5938,66.8594,105,130.8687,65.0784,165,109,89,55,0.8821
0.3,65.0784,47.5938,67.3312,105,131.2125,65.0784,165,109,89,55,0.8821
0.31,65.0784,47.5938,69.9719,105,131.2469,65.0784,165,109,89,55,0.8821
0.32,65.0784,47.5938,74.8187,105,130.8906,65.0784,165,109,89,55,0.8821
0.33,65.0784,47.5938,76.9094,105,128.2781,65.0784,165,109,89,55,0.8821
0.34,65.0784,47.5938,75.3187,105,125.2844,65.0784,165,109,89,55,0.8821
0.35,65.0784,47.5938,73.4781,105,122.1156,65.0784,165,109,89,55,0.8821
0.36,65.0784,47.5938,73.4813,105,118.2219,65.0784,165,109,89,55,0.8821
0.37,65.0784,47.5938,73.5438,105,116.0781,65.0784,165,109,89,55,0.8821
0.38,65.0784,47.5938,72.9094,105,113.2375,65.0784,165,109,89,55,0.8821
0.39,65.0784,47.5938,72.5531,105,110.8594,65.0784,165,109,89,55,0.8821
